Food,Disease,Status,Reason,Biomarker,Curing/Alternative Foods
Coriander,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coriander,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Coriander,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Coriander,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Corn,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn (Maize),Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Brown rice, Raspberry, Teff"
Corn (Maize),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn (Maize),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn (Maize),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn (Maize),Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Corn (Maize),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Couscous,Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Farro, Blueberry, Wild rice"
Couscous,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Couscous,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Couscous,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Couscous,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Couscous,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cranberry,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Teff, Apple, Buckwheat"
Cranberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cranberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cranberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cranberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cranberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Croissant,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Blueberry, Guava, Buckwheat"
Croissant,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Croissant,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Croissant,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Croissant,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Coriander, Mustard greens, Yogurt"
Croissant,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cucumber,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cucumber,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cucumber,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cucumber,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Cucumber,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Cucumber,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Currant,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Barley, Brown rice, Teff"
Currant,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Currant,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Currant,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Currant,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Currant,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Custard apple,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Pear, Amaranth, Apple"
Custard apple,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Custard apple,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Custard apple,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Custard apple,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Custard apple,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Date,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Freekeh, Strawberry, Apple"
Date,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Date,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Date,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Date,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Date,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Donuts,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Oats, Barley, Guava"
Donuts,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Donuts,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Donuts,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Donuts,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Chili pepper, Quinoa, Tomato"
Donuts,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Doughnut,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Pear, Blueberry, Quinoa"
Doughnut,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Doughnut,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Doughnut,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Doughnut,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Doughnut,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dragon fruit,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Quinoa, Oats, Pear"
Dragon fruit,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dragon fruit,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dragon fruit,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dragon fruit,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dragon fruit,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apple,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Teff, Freekeh, Brown rice"
Dried apple,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apple,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apple,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apple,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apple,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apricot,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Buckwheat, Pear, Strawberry"
Dried apricot,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apricot,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apricot,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apricot,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried apricot,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried banana chips,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Raspberry, Barley, Teff"
Dried banana chips,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried banana chips,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried banana chips,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried banana chips,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried banana chips,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried blueberry,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Pear, Blackberry, Amaranth"
Dried blueberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried blueberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried blueberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried blueberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried blueberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cherry,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Pear, Barley, Wild rice"
Dried cherry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cherry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cherry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cherry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cherry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried coconut,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Pear, Raspberry, Strawberry"
Dried coconut,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried coconut,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried coconut,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried coconut,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried coconut,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cranberry,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Blackberry, Blueberry, Teff"
Dried cranberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cranberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cranberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cranberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried cranberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried mango,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Barley, Freekeh, Wild rice"
Dried mango,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried mango,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried mango,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried mango,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Dried mango,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggplant (Brinjal),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggplant (Brinjal),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggplant (Brinjal),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggplant (Brinjal),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggplant (Brinjal),Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Eggplant (Brinjal),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggs,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggs,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggs,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggs,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggs,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Eggs,Thyroid Disorder,Good,Rich in selenium and iodine,TSH,This food is recommended for this condition
Energy bar,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Energy bar,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Energy bar,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Energy bar,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Energy bar,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Cauliflower, Garlic, Yogurt"
Energy bar,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Falafel,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Falafel,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Falafel,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Falafel,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Falafel,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Tomato, Turnip, Bitter gourd"
Falafel,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Farro,Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Farro,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Farro,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Farro,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Farro,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Farro,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fennel,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fennel,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fennel,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fennel,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fennel,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Fennel,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fenugreek leaves (methi),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fenugreek leaves (methi),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fenugreek leaves (methi),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fenugreek leaves (methi),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fenugreek leaves (methi),Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Fenugreek leaves (methi),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fig,Diabetes,Avoid,Very high concentrated sugar,Blood Glucose,"Recommended instead: Pear, Freekeh, Blackberry"
Fig,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fig,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fig,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fig,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fig,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fish and chips,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fish and chips,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fish and chips,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fish and chips,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fish and chips,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Ginger, Yogurt, Carrot"
Fish and chips,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Flax seeds,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Flax seeds,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Flax seeds,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Flax seeds,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Flax seeds,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Flax seeds,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fonio,Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Raspberry, Quinoa, Amaranth"
Fonio,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fonio,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fonio,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fonio,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Fonio,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Freekeh,Diabetes,Good,"High in fiber, complex carb",Blood Glucose,This food is recommended for this condition
Freekeh,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Freekeh,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Freekeh,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Freekeh,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Freekeh,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
French Fries,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
French Fries,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
French Fries,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Salmon, Olive oil, Kale"
French Fries,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
French Fries,Obesity,Avoid,"Deep-fried, high calorie",BMI,"Recommended instead: Bitter gourd, Swiss chard, Yam"
French Fries,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic,Hypertension,Good,"Rich in beneficial compounds (nitrates, etc.)",Blood Pressure,This food is recommended for this condition
Garlic,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Garlic,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic bread,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic bread,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic bread,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic bread,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Garlic bread,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Kale, Coriander, Sweet potato"
Garlic bread,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ghee,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ghee,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ghee,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ghee,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ghee,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ghee,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ginger,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ginger,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ginger,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ginger,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ginger,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Ginger,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Gooseberry,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Raspberry, Blackberry, Blueberry"
Gooseberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Gooseberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Gooseberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Gooseberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Gooseberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Granola,Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Broken wheat (Dalia), Quinoa, Amaranth"
Granola,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Granola,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Granola,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Granola,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Granola,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Grapes,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Brown rice, Farro, Teff"
Grapes,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Grapes,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Grapes,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Grapes,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Grapes,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Green beans,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Green beans,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Green beans,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Green beans,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Green beans,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Green beans,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Guava,Diabetes,Good,"High fiber, lower GI",Blood Glucose,This food is recommended for this condition
Guava,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Guava,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Guava,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Guava,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Guava,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hazelnut,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hazelnut,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Hazelnut,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hazelnut,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hazelnut,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hazelnut,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Honey,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Wild rice, Guava, Brown rice"
Honey,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Honey,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Honey,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Honey,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Honey,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hot dog,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hot dog,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hot dog,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Olive oil, Oats, Garlic"
Hot dog,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Hot dog,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Asparagus, Cauliflower, Mustard greens"
